fiware_servicepath,device_status,battery_voltage,entity_type,time_index,co2,temperature,humidity,entity_id,presence,fecha_hora
/rabanales,0.0,3.25,airsense,1619846793000,568.0,20.94,58.44,atd-airsense007,0.0,2021-05-01 05:26:33
/rabanales,0.0,3.25,airsense,1619845893000,563.0,21.1,58.57,atd-airsense007,0.0,2021-05-01 05:11:33
/rabanales,0.0,3.24,airsense,1619847740000,455.0,16.34,53.45,atd-airsense001,0.0,2021-05-01 05:42:20
/rabanales,0.0,3.26,airsense,1619841576000,590.0,20.76,59.13,atd-airsense009,0.0,2021-05-01 03:59:36
/rabanales,0.0,3.25,airsense,1619854893000,563.0,20.93,57.72,atd-airsense007,0.0,2021-05-01 07:41:33
/rabanales,0.0,3.31,airsense,1619857446000,546.0,20.84,57.03,atd-airsense006,0.0,2021-05-01 08:24:06
/rabanales,0.0,3.18,airsense,1619860379000,726.0,20.74,59.25,atd-airsense010,0.0,2021-05-01 09:12:59
/rabanales,0.0,3.27,airsense,1619863176000,525.0,20.74,58.11,atd-airsense009,0.0,2021-05-01 09:59:36
/rabanales,0.0,3.25,airsense,1619864793000,532.0,21.45,55.86,atd-airsense007,0.0,2021-05-01 10:26:33
/rabanales,0.0,3.31,airsense,1619854746000,576.0,20.58,57.83,atd-airsense006,0.0,2021-05-01 07:39:06
/rabanales,0.0,3.24,airsense,1619854940000,464.0,16.22,53.76,atd-airsense001,0.0,2021-05-01 07:42:20
/rabanales,0.0,3.31,airsense,1619856546000,557.0,20.81,57.04,atd-airsense006,0.0,2021-05-01 08:09:06
/rabanales,0.0,3.25,airsense,1619859440000,452.0,16.75,52.69,atd-airsense001,0.0,2021-05-01 08:57:20
/rabanales,0.0,3.19,airsense,1619872078000,706.0,21.09,56.94,atd-airsense010,0.0,2021-05-01 12:27:58
/rabanales,0.0,3.32,airsense,1619872745000,527.0,21.41,53.88,atd-airsense006,0.0,2021-05-01 12:39:05
/rabanales,0.0,3.25,airsense,1619872893000,519.0,21.65,54.0,atd-airsense007,0.0,2021-05-01 12:41:33
/rabanales,0.0,3.28,airsense,1619873075000,509.0,21.11,55.77,atd-airsense009,0.0,2021-05-01 12:44:35
/rabanales,0.0,3.33,airsense,1619873645000,499.0,21.46,53.66,atd-airsense006,0.0,2021-05-01 12:54:05
/rabanales,0.0,3.19,airsense,1619873878000,692.0,21.12,56.71,atd-airsense010,0.0,2021-05-01 12:57:58
/rabanales,0.0,3.25,airsense,1619876493000,516.0,21.73,53.36,atd-airsense007,0.0,2021-05-01 13:41:33
/rabanales,0.0,3.29,airsense,1619877575000,506.0,23.14,52.23,atd-airsense009,0.0,2021-05-01 13:59:35
/rabanales,0.0,3.2,airsense,1619878378000,693.0,21.98,54.52,atd-airsense010,0.0,2021-05-01 14:12:58
/rabanales,0.0,3.29,airsense,1619882075000,492.0,21.62,53.95,atd-airsense009,0.0,2021-05-01 15:14:35
/rabanales,0.0,3.29,airsense,1619882975000,485.0,21.72,54.07,atd-airsense009,0.0,2021-05-01 15:29:35
/rabanales,0.0,3.38,airsense,1619883384000,433.0,18.28,49.97,atd-airsense003,0.0,2021-05-01 15:36:24
/rabanales,0.0,3.25,airsense,1619883693000,497.0,21.73,52.73,atd-airsense007,0.0,2021-05-01 15:41:33
/rabanales,0.0,3.25,airsense,1619884593000,501.0,21.65,52.65,atd-airsense007,0.0,2021-05-01 15:56:33
/rabanales,0.0,3.36,airsense,1619880684000,433.0,19.82,43.38,atd-airsense003,0.0,2021-05-01 14:51:24
/rabanales,0.0,3.33,airsense,1619880845000,499.0,21.62,52.6,atd-airsense006,0.0,2021-05-01 14:54:05
/rabanales,0.0,3.33,airsense,1619883545000,522.0,21.64,52.57,atd-airsense006,0.0,2021-05-01 15:39:05
/rabanales,0.0,3.2,airsense,1619884678000,691.0,21.44,55.41,atd-airsense010,0.0,2021-05-01 15:57:58
/rabanales,0.0,3.33,airsense,1619894345000,528.0,21.51,52.52,atd-airsense006,0.0,2021-05-01 18:39:05
/rabanales,0.0,3.2,airsense,1619894578000,723.0,21.48,54.85,atd-airsense010,0.0,2021-05-01 18:42:58
/rabanales,0.0,3.2,airsense,1619896378000,722.0,21.37,54.77,atd-airsense010,0.0,2021-05-01 19:12:58
/rabanales,0.0,3.33,airsense,1619897045000,531.0,21.4,52.61,atd-airsense006,0.0,2021-05-01 19:24:05
/rabanales,0.0,3.33,airsense,1619897945000,530.0,21.44,52.72,atd-airsense006,0.0,2021-05-01 19:39:05
/rabanales,0.0,3.37,airsense,1619899584000,455.0,18.09,53.17,atd-airsense003,0.0,2021-05-01 20:06:24
/rabanales,0.0,3.29,airsense,1619900075000,508.0,21.37,53.69,atd-airsense009,0.0,2021-05-01 20:14:35
